timestamp,frame,track_id,class,priority,x1,y1,x2,y2,conf,target_cx,target_cy,err_x,err_y,rc_yaw,rc_throttle,conf_threshold,thermal_throttle,sahi_mode,ram_pct,gpu_temp,cpu_temp,power_mw,latency_ms,fps,target_lost
1783525931.7667727,0,1,person,0,474,3,741,558,0.844,607,280,-33,-80,1500,1650,0.35,0,0,32.3,46.343,45.875,4840,885.83,1.1,0
1783525931.8131576,1,1,person,0,354,1,626,569,0.887,490,285,-150,-75,1300,1524,0.35,0,0,34.1,46.312,46.5,5863,21.99,45.5,0
1783525931.8911474,2,2,person,0,616,2,961,643,0.879,788,322,148,-38,1700,1491,0.35,0,0,34.1,46.312,46.5,5863,21.49,46.5,0
1783525931.9522412,3,2,person,0,596,2,944,643,0.884,770,322,130,-38,1554,1515,0.35,0,0,34.1,46.312,46.5,5863,20.78,48.1,0
1783525932.010397,4,2,person,0,584,2,935,642,0.897,759,322,119,-38,1556,1515,0.35,0,0,34.1,46.312,46.5,5863,20.76,48.2,0
1783525932.0700486,5,2,person,0,573,2,924,638,0.892,748,320,108,-40,1550,1518,0.35,0,0,37.5,46.281,46.593,6051,20.06,49.9,0
1783525932.1307764,6,2,person,0,559,2,910,638,0.861,734,320,94,-40,1539,1516,0.35,0,0,37.5,46.281,46.593,6051,20.14,49.7,0
1783525932.1915295,7,2,person,0,547,2,900,639,0.901,723,320,83,-40,1536,1516,0.35,0,0,37.5,46.281,46.593,6051,20.01,50.0,0
1783525932.2513118,8,2,person,0,532,2,882,636,0.922,707,319,67,-41,1520,1517,0.35,0,0,37.5,46.281,46.593,6051,19.57,51.1,0
1783525932.3109622,9,2,person,0,523,2,871,633,0.896,697,317,57,-43,1522,1519,0.35,0,0,37.5,46.281,46.593,6051,20.18,49.6,0
1783525932.3680718,10,2,person,0,507,3,848,619,0.798,677,311,37,-49,1421,1525,0.35,0,0,37.5,46.281,46.593,6051,19.98,50.1,0
1783525932.4281027,11,2,person,0,492,2,831,614,0.786,661,308,21,-52,1501,1523,0.35,0,0,37.5,46.281,46.593,6051,20.24,49.4,0
1783525932.4857342,12,2,person,0,480,3,819,612,0.756,649,307,9,-53,1501,1522,0.35,0,0,37.5,46.281,46.593,6051,19.24,52.0,0
1783525932.5428116,13,2,person,0,473,3,813,611,0.76,643,307,3,-53,1501,1521,0.35,0,0,37.5,46.343,46.281,6130,19.72,50.7,0
1783525932.5864308,14,2,person,0,446,2,789,607,0.873,617,304,-23,-56,1501,1526,0.35,0,0,37.5,46.343,46.281,6130,19.52,51.2,0
1783525932.6434693,15,2,person,0,430,1,778,607,0.923,604,304,-36,-56,1501,1523,0.35,0,0,37.5,46.343,46.281,6130,19.64,50.9,0
1783525932.6991343,16,2,person,0,402,1,756,606,0.937,579,303,-61,-57,1377,1524,0.35,0,0,37.5,46.343,46.281,6130,20.8,48.1,0
1783525932.7560034,17,2,person,0,380,2,739,605,0.937,559,303,-81,-57,1424,1523,0.35,0,0,37.5,46.343,46.281,6130,19.37,51.6,0
1783525932.8134608,18,2,person,0,366,3,730,605,0.931,548,304,-92,-56,1430,1522,0.35,0,0,37.5,46.343,46.281,6130,19.22,52.0,0
1783525932.8680356,19,2,person,0,354,3,721,601,0.896,537,302,-103,-58,1422,1526,0.35,0,0,37.5,46.343,46.281,6130,19.63,50.9,0
1783525932.9245775,20,2,person,0,341,4,710,601,0.715,525,302,-115,-58,1414,1524,0.35,0,0,37.5,46.343,46.281,6130,19.36,51.7,0
1783525932.9824984,21,2,person,0,331,5,702,600,0.871,516,302,-124,-58,1413,1524,0.35,0,0,37.5,46.343,46.281,6130,19.14,52.2,0
1783525933.038095,22,2,person,0,316,3,693,598,0.909,504,300,-136,-60,1401,1527,0.35,0,0,37.5,46.281,46.218,6209,19.58,51.1,0
1783525933.0955446,23,2,person,0,305,3,687,596,0.904,496,299,-144,-61,1402,1526,0.35,0,0,37.5,46.281,46.218,6209,19.45,51.4,0
1783525933.151033,24,2,person,0,307,3,692,593,0.896,499,298,-141,-62,1419,1527,0.35,0,0,37.5,46.281,46.218,6209,19.08,52.4,0
1783525933.206885,25,2,person,0,312,3,700,592,0.903,506,297,-134,-63,1429,1527,0.35,0,0,37.5,46.281,46.218,6209,19.74,50.7,0
1783525933.250637,26,2,person,0,314,3,705,590,0.914,509,296,-131,-64,1426,1528,0.35,0,0,37.5,46.281,46.218,6209,19.4,51.6,0
1783525933.3075547,27,2,person,0,311,3,706,588,0.918,508,295,-132,-65,1418,1528,0.35,0,0,37.5,46.281,46.218,6209,19.99,50.0,0
